atlasId,atlasName,cohortId,name
1780177,[ACESO_P1] Anxiety disorders_Outcome events_V2,1780177,ACESO_P1_Anxiety disorders_Outcome events_V2
1780178,[ACESO_P1] Bipolar disorders_Outcome events_V2,1780178,ACESO_P1_Bipolar disorders_Outcome events_V2
1780183,[ACESO_P1] Neruodevelopmental disorder_Outcome events_V2,1780183,ACESO_P1_Neruodevelopmental disorder_Outcome events_V2
1780179,[ACESO_P1] Personality disorders_Outcome events_V2,1780179,ACESO_P1_Personality disorders_Outcome events_V2
1780176,[ACESO_P1] Insomnia_Outcome events_V2,1780176,ACESO_P1_Insomnia_Outcome events_V2
1781505,[ACESO_P1] Mortality_Outcome events_V2,1781505,ACESO_P1_Mortality_Outcome events_V2
1781278,[ACESO_P1] Constipation_MM events_V2,1781278,ACESO_P1_Constipation_MM events_V2
1781280,[ACESO_P1] Lymphoma_MM events_V2,1781280,ACESO_P1_Lymphoma_MM events_V2
1781281,"[ACESO_P1] Cancer, non-metastatic (breast, cervical, colorectal, lung, prostate)_MM events_V2",1781281,"ACESO_P1_Cancer, non-metastatic (breast, cervical, colorectal, lung, prostate)_MM events_V2"
1781282,[ACESO_P1] Mastatic Cancer_MM events_V2,1781282,ACESO_P1_Mastatic Cancer_MM events_V2
1781283,[ACESO_P1] Chronic pain_MM events_V2,1781283,ACESO_P1_Chronic pain_MM events_V2
1781284,[ACESO_P1] Alcohol misuse and dependence_MM events_V2,1781284,ACESO_P1_Alcohol misuse and dependence_MM events_V2
1781285,[ACESO_P1] Chronic pulmonary Disease_MM events_V2,1781285,ACESO_P1_Chronic pulmonary Disease_MM events_V2
1781286,[ACESO_P1] Rheumatoid arthritis_MM events_V2,1781286,ACESO_P1_Rheumatoid arthritis_MM events_V2
1781288,[ACESO_P1] Peptic ulcer_MM events_V2,1781288,ACESO_P1_Peptic ulcer_MM events_V2
1781289,[ACESO_P1] Cirrhosis_MM events_V2,1781289,ACESO_P1_Cirrhosis_MM events_V2
1781290,[ACESO_P1] Psoriasis_MM events_V2,1781290,ACESO_P1_Psoriasis_MM events_V2
1781291,[ACESO_P1] Dimentia_MM events_V2,1781291,ACESO_P1_Dimentia_MM events_V2
1781292,[ACESO_P1] Peripheral vascular disease_MM events_V2,1781292,ACESO_P1_Peripheral vascular disease_MM events_V2
1781293,[ACESO_P1] Atrial fibrillation_MM events_V2,1781293,ACESO_P1_Atrial fibrillation_MM events_V2
1781294,[ACESO_P1] Chronic heart failure_MM events_V2,1781294,ACESO_P1_Chronic heart failure_MM events_V2
1780180,[ACESO_P1] Alcohol misuse or dependence_Outcome events_V2,1780180,[ACESO_P1] Alcohol misuse or dependence_Outcome events_V2
1780181,[ACESO_P1] Substance misuse or dependence_Outcome events_V2,1780181,[ACESO_P1] Substance misuse or dependence_Outcome events_V2
